Title,Rating,Review,Date
1.0 out of 5 starsVery very nice product,1.0,"I ordered a smartphone from Amazon, but they sent me a open seal, damaged product.When I contacted customer care, they asked me to accept the box and use it.I questioned *why I should accept an opened sealed box when I've paid the full amount.*After multiple emails and phone calls, they acknowledged their mistake and initiated the return process.However, my first EMI of approximately ₹8,000 was deducted from my bank account, which they haven't refunded yet.Apart from all thats24 performance is good, Samsung is good company, charging speed is ok if you are using samsung charger sound quality is also good touch function is good if you are using it without temper galss or quality tamper glass on itOriginal Samsung s24 is value for money.Be aware of the Chinese variant of Samsung s24",Reviewed in India on 25 May 2025
5.0 out of 5 starsSafe Delivery of Product,5.0,Beyond Expected,Reviewed in India on 6 March 2025
5.0 out of 5 starsExcellent: Didn’t expect that Exynos would perform so well.,5.0,It’s a good one. Battery backup is good. It’s on par with my iphone 14’s battery backup. It’s fast and smooth. App openings are fast. Good ram management.It feels a little warm when using the camera but that also happens with my iPhone.,Reviewed in India on 28 December 2024
4.0 out of 5 starsGood phone for photography lovers,4.0,,Reviewed in India on 30 October 2024
5.0 out of 5 starsAmazing,5.0,Ohh this phone is amazing. I loved it. Just camera is different from 24 ultra but I wanted smaller in size so got this.,Reviewed in India on 25 January 2025
4.0 out of 5 starsLove the phone,4.0,"It is a small light weight phone andresembles iPhone in appearance. I am a low to moderate user. So, battery is not a major problem till now. But at times it heats up really badly. Then battery also drains out fast. It gets heated up most while taking pictures. That's the sad part. Otherwise performance wise it is quite good.",Reviewed in India on 8 May 2024
5.0 out of 5 starsGood purchase!,5.0,"I got the phone at a decent price, and after comparing with S23 Ultra. The phone is decent sized, and fits well in Jeans pockets and in my palm... unlike my old S22 Ultra (most of the times, we don't need the tablet features - with stylus). Although, only thing it misses is the optical zoom features from it's counterpart Ultra version..",Reviewed in India on 10 November 2024
"4.0 out of 5 starsNice choice, handy phone.",4.0,,Reviewed in India on 28 October 2024
5.0 out of 5 starsAfter 3 months of use,5.0,Premium Build quality 👌I have Cobalt Violet colour with 256gb of storage 💯This colour looks fantastic 😍Excellent disply and camera quality 📸If you're going to shoot UHD or 8k videos Go for Higher Storage variants like 256 Gb or 512 Gb storage models 🎥📸Battery life is excellent 🔋Phone can easily last a full day with 5 to 6 hrs of screen on time 📱⏰With 25w charger phone charges to 80% within 30 mins 🗣️💡Performance is also really great 💯Overall a great product by Samsung 💯👍 #SamsungGoals #TechReviews,Reviewed in India on 31 July 2024
4.0 out of 5 starsAfter using 10 days,4.0,"If you gonna switch from iPhone to this, then surely you gonna feel lil bit disappointment. Screen action is slow than iPhone. The speaker quality gonna feel you bad. Battery is not that much satisfactory. It's quite similar to other average android phone. Look is giving tough competition to iPhone.",Reviewed in India on 6 May 2024
3.0 out of 5 starsGreat phone with a great flaw,3.0,"The phone excels in all the fields i.e Looks great, amazing software, practical AI features, great camera.But it has one major flaw that is battery life, on a full 100% charge, I can only get 3 hours of screen on time, that too when I don't use my phone for heavy features like gaming or camera.Also, on hit afternoons the phone get warm (you can feel it in your pocket )which leads to more battery drainage.I hope Samsung can fix these battery related issues and make the phone best in it's class.",Reviewed in India on 11 April 2024
1.0 out of 5 starsUSED PRODUCT RECEIVED,1.0,"Used item received, battery also in very bad condition overall im say about this worthless product received by seller.....",Reviewed in India on 26 June 2025
4.0 out of 5 starsWorth for money,4.0,This mobile is really good for usage. And the camera quality is just awesome. Mobile is handy and really worth for the price,Reviewed in India on 14 June 2025
4.0 out of 5 starsVery good,4.0,One of the best phone,Reviewed in India on 27 October 2024
5.0 out of 5 starsExynos 2400 is good,5.0,"Before buying another exynos S series I was in doubt but exynos 2400 exceeded my expectations I haven't notice heating issue just noticed phone getting warmer on top part when used extensively under direct sunlight but that's normal for any AMOLED displayAbout the display, it's very very bright under direct sunlight screen looks like you are viewing inside a room or soBattery life is excellent I'm using wifi and 5g battery easily lasts for 1 and half day even 2 daysOther samsung s24 features are goodGalaxy AI is very good makes everything exciting especially if you are into photo video editing and circle to search is very fastCameras are best bulit quality is top notchI recommend s24 to anyone who wants compact flagship",Reviewed in India on 28 February 2024
4.0 out of 5 starsHeating issue,4.0,"Good purchase if you buy it under 60,000. Exynos 2400 is not worth 75,000. Also the phone has some heating issues when used extensively. Rest everything is very good.",Reviewed in India on 24 July 2024
3.0 out of 5 starsHeating issue,3.0,"I bought today samsung s24, mobile was quitgood but only one issue is there is heating if u using 10 to 15 minutes it will get heat. This is the nagetive of this phone.",Reviewed in India on 8 October 2024
1.0 out of 5 starsDon't buy mobile on Amazon,1.0,"Pathetic delivery service. Do not buy any mobile on Amazon, there are serious concern with quality of the mobile. Heating issue, short battery life and overall appalling customer service.",Reviewed in India on 17 June 2025
5.0 out of 5 starsSimple and Superb,5.0,"I'm not a big time gamer or depend heavily on social media at all.I am just a normal user who banks on the phone just to make calls, text and sometimes surf the internet.The color is good and the interface is awesome.The cameras look modest but work mighty.The battery works decent for me and goes on for about 22-30 hrs on a single charge cos my saver is usually on.The Galaxy AI blows your mind off with what all it can do.The phone is compact, easily fits in the pocket and turns heads when you pull it out.I believe I have the best smartphone over coz it is sober and sophisticated.",Reviewed in India on 29 February 2024
1.0 out of 5 starsNever buy this Overheating 4g only Exynos lagging phone. It's no longer like S23 with Snapdragon,1.0,"Unable to do livestreams because of frequnet excessive overheating and 4g network switch from 5g because of itI bought this samsung galaxy s24 base 256gb only for building my youtube carrier and spent nearly ₹80,000/- but this phone have exynos unlike the old s24 which had snapdragon. After just few months price dropped so much that it's crazy. 50 to 60k for this now.I have never bought anything of such high price, i saved for this phone for 10+ years of saving money and my disappointment is immeasurable.My phone is overheating and lagging too much when playing genshin impact.When i play any game or do livestream my phone overheats and the 5g connection disconnects, and it switches to 4 g, which is not unlimited.This issue can't be fixed as samsung is ignorant enough to first cheap out on hardware and software and then call every issue i tell as a ""feature not a bug""They say to ""just reset every time"" which still does not fix.I want my hard earned money back as this is the biggest scam ever to me, i should have bought a computer instead. No snapdragon on s24 now. Cheap. Slow 25w charging takes more than 1 hour and heats your phone until it's fully cooked. I'm cooked aswell. It's also uncomfortable to hold and way too small to type on using both thumbs. Small screen makes you bring closer the phone bending your neck.",Reviewed in India on 10 October 2024
3.0 out of 5 starsAverage Flagship,3.0,"Not satisfied at all if this product is to be considered Flagship.... Heats up quite a bit... Display not up to the mark.... and most disastrous is the camera.... If you click in auto mode, with AI support, you will get some amazing outputs but if you put things in manual mode you will click some worst picture of your life with poorest colour reproduction....and the last is the battery which drains out like nothing",Reviewed in India on 4 May 2024
5.0 out of 5 starsS 24 review,5.0,It's so cute that it dolby atmos feels like cinema and it's battery life is 1day and weight is very  less and function properly and charge 1 hour and value for money,Reviewed in India on 21 November 2024
5.0 out of 5 starsCompact Flagship phone,5.0,Fast and snappy phoneCamera - 4/5Design - 5/5Battery - 4/5Display - 5/5I have used iphone15 and xiaomi 14 as well but S24 is on next level specially with display quality and UI experience.Battery peformance is very good as it gives around 6-6.5 hrs SOT on full charge which is excellent for compact phone. I have attached screenshot as well.,Reviewed in India on 3 August 2024
3.0 out of 5 starsNot worth it,3.0,"After using midrange android phones for many years, I upgraded to Google Pixel phones three years ago and decided to upgrade further to Galaxy S series. Primarily, I wanted a small screen phone. Frankly, I don't feel anything premium. Apps are crashing in this phone also. This phone doesn't even stand the games in Google Pay.",Reviewed in India on 27 June 2024
5.0 out of 5 starsGood,5.0,Good,Reviewed in India on 3 February 2025
"4.0 out of 5 starsNice product , value for money",4.0,"Battery life is good, photo clarity is excellent, sound quality is good",Reviewed in India on 10 August 2024
5.0 out of 5 starsPerfect camera phone,5.0,Of you really are not a gamer.. go for samsung s series ..,Reviewed in India on 8 January 2025
3.0 out of 5 starsGood display and performance,3.0,Battery backup is not good.Minor heating issue in normal usage also.,Reviewed in India on 11 October 2024
2.0 out of 5 starsI am not happy with S24 piece.,2.0,During video calls the phone gets heated up.Finger lines recognition on the phone is cumbersome.Selfie with light is not proper. When I click  with flash entire phone display becomes brighter. Something wrong.,Reviewed in India on 2 February 2025
5.0 out of 5 starsAmazing Product,5.0,The media could not be loaded.The product samsung S24 in yellow gold colour looking so beautiful and sleek. It's features are marvelous.Rest will get to know after using the product,Reviewed in India on 10 January 2025
3.0 out of 5 starsPls don't buy,3.0,Heat issues and battery life is very bad,Reviewed in India on 26 October 2024
5.0 out of 5 starsSamsung s 24,5.0,Very nice product thanks Amazon,Reviewed in India on 10 January 2025
